code,full_name,birth_day,sex,Kinh,province_id,qt,lcn,branch_code,rating_id,dsa,dsa,address,phone_number,email_address,graduted,course_code
A04598,Lê Xuân Minh,2018-05-07,1,Kinh,25,Việt Nam,TE14,TI,4,TT1332,1415758,address,1234678645,email0,1,K1
A06517,Lại Thu Huyền,2018-01-23,0,Kinh,1,Việt Nam,QA16a7,TI,5,QL12321,1415759,address,1234678645,email1,1,K1
A08351,Vũ Hữu Trung,2018-10-23,1,Kinh,1,Việt Nam,TE18e,TI,4,TT1330,1415760,address,1234678645,email2,1,K1
A11324,Hứa Ngọc Huyền,2018-07-05,0,Kinh,1,Việt Nam,QA20d2,TI,3,QL12245,1415761,address,1234678645,email3,1,K1
A14378,Đoàn Đình Đảng,2018-01-06,1,Kinh,15,Việt Nam,QB22g1,TI,4,QL12280,1415762,address,1234678645,email4,1,K1
A15970,Đỗ Thị An,2018-11-30,0,Kinh,33,Việt Nam,QB23e1,TI,5,QL12320,1415763,address,1234678645,email5,1,K1
A16402,Nguyễn Thu Hằng,2018-09-28,0,Kinh,31,Việt Nam,NE23a1,TI,4,TA1198,229481,address,1234678645,email6,1,K1
A18042,Nguyễn Hoàng Tú,2018-11-29,1,Kinh,1,Việt Nam,QB23c11,TI,5,QL12322,1415764,address,1234678645,email7,1,K1
A18124,Trần Văn Tiến,2018-08-15,1,Kinh,36,Việt Nam,QE23c2,TI,4,QL12294,1415765,address,1234678645,email8,1,K1
A18326,Nguyễn Thị Hậu,2018-10-08,0,Kinh,27,Việt Nam,QA24g1,TI,4,QL12311,1415766,address,1234678645,email9,1,K1
A18663,Lê Minh Quang,2018-10-30,1,Kinh,1,Việt Nam,QB24g2,TI,4,QL12312,1415767,address,1234678645,email10,1,K1
A19038,Lê Hà Chi,2018-12-03,0,Kinh,1,Việt Nam,NJ24c1,TI,3,TN0347,229482,address,1234678645,email11,1,K1
A19126,Vũ Khánh Huyền,2018-08-23,0,Kinh,1,Việt Nam,QF24c2,TI,4,QL12295,1415768,address,1234678645,email12,1,K1
A19203,Đào Thị Tố Uyên,2018-09-10,0,Kinh,30,Việt Nam,QB24c4,TI,3,QL12246,1415769,address,1234678645,email13,1,K1
A19339,Trần Diễm Quỳnh,2018-12-26,0,Kinh,1,Việt Nam,NE24a3,TI,4,TA1199,229483,address,1234678645,email14,1,K1
A19402,Nguyễn Minh Thảo,2018-10-24,0,Kinh,1,Việt Nam,QM24d1,TI,4,QL12307,1415770,address,1234678645,email15,1,K1
A19571,Lê Minh Cường,2018-05-06,1,Kinh,1,Việt Nam,QB24c5,TI,3,QL12253,1415771,address,1234678645,email16,1,K1
A19597,Trần Nam Khánh,2018-05-18,1,Kinh,1,Việt Nam,NJ24a1,TI,3,TN0348,229484,address,1234678645,email17,1,K1
A19640,Phạm Thanh Duyên,2018-11-04,0,Kinh,1,Việt Nam,QH24g1,TI,4,QL12275,1415772,address,1234678645,email18,1,K1
A19647,Nguyễn Thị Diệu Linh,2018-10-14,0,Kinh,1,Việt Nam,QA24c2,TI,4,QL12318,1415773,address,1234678645,email19,1,K1
A19770,Phạm Thị Huyền Trang,2018-08-18,0,Kinh,36,Việt Nam,QA24g2,TI,4,QL12289,1415774,address,1234678645,email20,1,K1
A19949,Nguyễn Hương Trà,2018-05-14,0,Kinh,1,Việt Nam,QF24d3,TI,4,QL12290,1415775,address,1234678645,email21,1,K1
A19981,Nguyễn Thanh Tùng,2018-05-27,1,Kinh,30,Việt Nam,QA24g3,TI,3,QL12264,1415776,address,1234678645,email22,1,K1
A20017,Vũ Thị Quỳnh Anh,2018-01-16,0,Kinh,1,Việt Nam,QF24g5,TI,4,QL12300,1415777,address,1234678645,email23,1,K1
A20077,Nguyễn Thị Thư,2018-02-12,0,Kinh,26,Việt Nam,QA24g3,TI,3,QL12247,1415778,address,1234678645,email24,1,K1
A20141,Nguyễn Mỹ Hằng,2018-07-18,0,Kinh,35,Việt Nam,QB24c7,TI,4,QL12319,1415779,address,1234678645,email25,1,K1
A20364,Lữ Thị Hòa,2018-09-28,0,Thái,40,Việt Nam,XW25g1,TI,3,CX0252,1415780,address,1234678645,email26,1,K1
A20389,Nguyễn Phương Thúy,2018-04-21,0,Kinh,36,Việt Nam,QA25g1,TI,5,QL12323,1415781,address,1234678645,email27,1,K1
A20496,Bùi Yến Nhi,2018-12-12,0,Kinh,1,Việt Nam,QF25d1,TI,4,QL12308,1415782,address,1234678645,email28,1,K1
A20502,Trương Bích Ngọc,2018-10-27,0,Kinh,1,Việt Nam,NE25a1,TI,3,TA1180,229485,address,1234678645,email29,1,K1
A20545,Đỗ Thùy Trang,2018-04-19,0,Kinh,1,Việt Nam,QF25g1,TI,4,QL12301,1415783,address,1234678645,email30,1,K1
A20590,Đinh Công Tuấn,2018-10-13,1,Kinh,37,Việt Nam,QF25g1,TI,4,QL12315,1415784,address,1234678645,email31,1,K1
A20592,Hoàng Trang Thu,2018-01-04,0,Kinh,1,Việt Nam,NE25a1,TI,2,TA1177,229486,address,1234678645,email32,1,K1
A20629,Tạ Đào Chinh,2018-01-04,0,Kinh,97,Việt Nam,NJ25g2,TI,4,TN0354,229487,address,1234678645,email33,1,K1
A20650,Lại Nguyệt Cầm,2018-06-10,0,Kinh,1000,Việt Nam,NE25a1,TI,4,TA1191,229488,address,1234678645,email34,1,K1
A20750,Nguyễn Thanh Hải,2018-10-12,1,Kinh,27,Việt Nam,QA25g2,TI,3,QL12265,1415785,address,1234678645,email35,1,K1
A20997,Nguyễn Hà My,2018-03-07,0,Kinh,34,Việt Nam,QF25g3,TI,4,QL12284,1415786,address,1234678645,email36,1,K1
A21015,Phạm Thị Trà My,2018-03-21,0,Kinh,1,Việt Nam,QM25d1,TI,4,QL12302,1415787,address,1234678645,email37,1,K1
A21102,Hoàng Bình Hậu,2018-02-22,0,Kinh,1,Việt Nam,NE25a2,TI,4,TA1192,229489,address,1234678645,email38,1,K1
A21183,Vương Thiên Anh,2018-06-11,0,Kinh,1,Việt Nam,QE25d1,TI,3,QL12256,1415789,address,1234678645,email39,1,K1
A21274,Phạm Thu Hương,2018-10-02,0,Kinh,1,Việt Nam,NZ25a1,TI,3,NZ0122,229490,address,1234678645,email40,1,K1
A21298,Lê Anh Như,2018-08-04,0,Kinh,38,Việt Nam,TC25g1,TI,4,TT1329,1415790,address,1234678645,email41,1,K1
A21350,Dương Thùy Linh,2018-10-06,0,Kinh,24,Việt Nam,QA25g4,TI,3,QL12248,1415791,address,1234678645,email42,1,K1
A21377,Trần Ngọc Đường,2018-04-23,1,Kinh,1,Việt Nam,QM25c1,TI,4,QL12316,1415792,address,1234678645,email43,1,K1
A21500,Lê Hoàng Hà,2018-08-07,0,Kinh,1,Việt Nam,QA25g5,TI,4,QL12313,1415793,address,1234678645,email44,1,K1
